full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
David Alberto Guzmen Perez,30,World Cup,2018,Midfielder,Costa Rica,246,73,173,Costa Rica,3,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1.1,82,82,246,0,0.37,-1,-1,-1,12
Johan Alberto Venegas Ulloa,31,World Cup,2018,Midfielder,Costa Rica,150,60,90,Costa Rica,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.6,150,75,0,0,0,-1,-1,-1,11
Bryan Ruiz Gonzalo,34,World Cup,2018,Forward,Costa Rica,270,90,180,Costa Rica,3,1,2,0,0,0,0,0,0,0,1,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,18
Marcos Danilo Ureua Porras,30,World Cup,2018,Forward,Costa Rica,121,67,54,Costa Rica,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.74,121,61,0,0,0,-1,-1,-1,2
Christian Bolnos Navarro,35,World Cup,2018,Midfielder,Costa Rica,66,30,36,Costa Rica,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,-1,-1,-1,8
Joel Nathaniel Campbell Samuels,27,World Cup,2018,Forward,Costa Rica,113,23,90,Costa Rica,2,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,2,1,0,0.8,0.8,0,0,0,0,1.59,57,57,113,113,0.8,-1,-1,-1,7
Daniel Colindres Solera,35,World Cup,2018,Forward,Costa Rica,98,17,81,Costa Rica,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.92,98,49,0,0,0,-1,-1,-1,6
Ian Rey Smith Quiros,22,World Cup,2018,Midfielder,Costa Rica,0,0,0,Costa Rica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Bryan Oviedo,30,World Cup,2018,Defender,Costa Rica,180,0,180,Costa Rica,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,5
Rodney Wallace,31,World Cup,2018,Midfielder,Costa Rica,9,0,9,Costa Rica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10,9,9,0,0,0,-1,-1,-1,4
Rendall Azofeifa Corrales,35,World Cup,2018,Midfielder,Costa Rica,0,0,0,Costa Rica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Yeltsin Ignacio Tejeda Valverde,28,World Cup,2018,Midfielder,Costa Rica,7,0,7,Costa Rica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,-1,-1,-1,3
Patrick Alberto Pemberton Bernard,37,World Cup,2018,Goalkeeper,Costa Rica,0,0,0,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Kendall Jamaal Waston Manley,32,World Cup,2018,Defender,Costa Rica,90,0,90,Costa Rica,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,1,0,1,90,2,45,90,90,0,1,-1,-1,-1,1
Kenner Gutierrez Cerdas,30,World Cup,2018,Defender,Costa Rica,0,0,0,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Leonel Moreira Ledezma,29,World Cup,2018,Goalkeeper,Costa Rica,0,0,0,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Vladimir Stojkovic,36,World Cup,2018,Goalkeeper,Serbia,270,180,90,Serbia,3,2,1,0,0,0,0,0,0,0,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,3
Durko Toakic,35,World Cup,2018,Defender,Serbia,180,90,90,Serbia,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.5,180,90,0,0,0,-1,-1,-1,11
Branislav Ivanovic,36,World Cup,2018,Defender,Serbia,180,90,90,Serbia,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0.5,180,90,180,0,0.5,-1,-1,-1,16
Aleksandar Kolarov,34,World Cup,2018,Defender,Serbia,270,180,90,Serbia,3,2,1,1,0,1,0,0,0,0,0,1,0,1,3,3,0,0,0,0.33,0,0.33,0,1,270,1,90,90,0,0,0,-1,-1,-1,2
Nikola Milenkovic,22,World Cup,2018,Defender,Serbia,270,180,90,Serbia,3,2,1,0,0,0,0,0,0,0,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,15
Nemanja Matic,31,World Cup,2018,Midfielder,Serbia,270,180,90,Serbia,3,2,1,0,0,0,0,0,0,0,0,1,0,1,3,3,0,2,0,0,0,0,0,0,0,1,90,90,135,0,0.67,-1,-1,-1,14
Duran Tadic,31,World Cup,2018,Midfielder,Serbia,263,180,83,Serbia,3,2,1,0,0,0,1,1,0,0,0,1,0,1,3,3,0,0,0,0.34,0.34,0,0,0,0,1.03,88,88,0,263,0,-1,-1,-1,13
Luka Milivojevic,28,World Cup,2018,Midfielder,Serbia,171,81,90,Serbia,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0.53,171,86,171,0,0.53,-1,-1,-1,12
Sergej Milinkovic,25,World Cup,2018,Midfielder,Serbia,270,180,90,Serbia,3,2,1,0,0,0,0,0,0,0,0,1,0,1,3,3,0,1,0,0,0,0,0,0,0,1,90,90,270,0,0.33,-1,-1,-1,9
Adem Ljajic,28,World Cup,2018,Forward,Serbia,170,100,70,Serbia,3,1,1,0,0,0,0,0,0,0,0,1,0,1,2,2,0,1,0,0,0,0,0,0,0,1.06,85,57,170,0,0.53,-1,-1,-1,10
Aleksandar Mitrovic,25,World Cup,2018,Forward,Serbia,269,179,90,Serbia,3,2,1,1,1,0,0,0,0,0,0,1,0,1,3,3,0,2,0,0.33,0,0.33,0.5,0,269,1,90,90,135,0,0.67,-1,-1,-1,1
Filip Kostic,27,World Cup,2018,Midfielder,Serbia,167,147,20,Serbia,3,2,0,0,0,0,0,0,0,0,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,1.62,56,56,0,0,0,-1,-1,-1,8
Antonio Rukavina,36,World Cup,2018,Defender,Serbia,97,90,7,Serbia,2,1,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,1.86,49,49,0,0,0,-1,-1,-1,7
Aleksandar Prijovic,29,World Cup,2018,Forward,Serbia,0,0,0,Serbia,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Urol Spajic,27,World Cup,2018,Defender,Serbia,0,0,0,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Andrija Pivkovic,23,World Cup,2018,Forward,Serbia,15,15,0,Serbia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,-1,-1,-1,6
Predrag Rajkovic,24,World Cup,2018,Goalkeeper,Serbia,0,0,0,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Milos Veljkovic,24,World Cup,2018,Midfielder,Serbia,90,90,0,Serbia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,45,90,0,0,0,-1,-1,-1,5
Milan Rodic,28,World Cup,2018,Defender,Serbia,0,0,0,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Marko Grujic,23,World Cup,2018,Midfielder,Serbia,0,0,0,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Nemanja Radonjic,24,World Cup,2018,Forward,Serbia,17,17,0,Serbia,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,-1,-1,-1,4
Luka Jovic,22,World Cup,2018,Forward,Serbia,1,1,0,Serbia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,17
Marko Dmitrovic,28,World Cup,2018,Goalkeeper,Serbia,0,0,0,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Manuel Neuer,33,World Cup,2018,Goalkeeper,Germany,270,180,90,Germany,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.67,135,90,0,0,0,-1,-1,-1,3
Jerome Boateng,31,World Cup,2018,Defender,Germany,172,172,0,Germany,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0,0,0,0,0,0,1.05,86,86,86,0,1.05,-1,-1,-1,12
Mats Hummels,31,World Cup,2018,Defender,Germany,180,90,90,Germany,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.5,180,90,180,0,0.5,-1,-1,-1,19
Marvin Plattenhardt,28,World Cup,2018,Defender,Germany,79,79,0,Germany,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.14,79,79,0,0,0,-1,-1,-1,18
Joshua Kimmich,25,World Cup,2018,Midfielder,Germany,270,180,90,Germany,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.67,135,90,0,0,0,-1,-1,-1,17
Mesut Ozil,31,World Cup,2018,Midfielder,Germany,180,90,90,Germany,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,180,90,0,0,0,-1,-1,-1,16
Sami Khedira,32,World Cup,2018,Midfielder,Germany,118,60,58,Germany,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.76,118,59,0,0,0,-1,-1,-1,15
Toni Kroos,30,World Cup,2018,Midfielder,Germany,270,180,90,Germany,3,2,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.33,0,0.33,0.5,0,270,0.67,135,90,0,0,0,-1,-1,-1,2
Julian Draxler,26,World Cup,2018,Midfielder,Germany,136,136,0,Germany,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1.32,68,68,0,0,0,-1,-1,-1,14
Thomas Muller,30,World Cup,2018,Forward,Germany,207,180,27,Germany,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0.87,104,69,207,0,0.43,-1,-1,-1,13
Timo Werner,24,World Cup,2018,Forward,Germany,266,176,90,Germany,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.68,133,89,0,0,0,-1,-1,-1,11
Marco Reus,30,World Cup,2018,Forward,Germany,210,120,90,Germany,3,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0.86,0.43,0.43,0.75,0,210,0.43,210,70,0,210,0,-1,-1,-1,1
Mario Gomez,34,World Cup,2018,Forward,Germany,87,55,32,Germany,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.03,1.03,0,0,0,0,0,0,29,0,87,0,-1,-1,-1,10
Julian Brandt,23,World Cup,2018,Midfielder,Germany,19,7,12,Germany,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-1,-1,-1,9
Matthias Ginter,26,World Cup,2018,Defender,Germany,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Kevin Trapp,29,World Cup,2018,Goalkeeper,Germany,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Leon Goretzka,25,World Cup,2018,Midfielder,Germany,63,0,63,Germany,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,-1,-1,-1,8
Niklas Saul,24,World Cup,2018,Defender,Germany,90,0,90,Germany,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,7
Antonio Rudiger,27,World Cup,2018,Defender,Germany,90,90,0,Germany,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,6
Sebastian Rudy,30,World Cup,2018,Midfielder,Germany,31,31,0,Germany,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,-1,-1,-1,5
Alkay Gundogan,29,World Cup,2018,Midfielder,Germany,59,59,0,Germany,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.53,59,59,0,0,0,-1,-1,-1,4
Marc-Andre ter Stegen,27,World Cup,2018,Goalkeeper,Germany,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Francisco Guillermo Ochoa Magarta,34,World Cup,2018,Goalkeeper,Mexico,360,90,270,Mexico,4,1,3,0,0,0,0,0,0,0,0,1,0,1,5,3,2,0,0,0,0,0,0,0,0,1.25,72,90,0,0,0,120,129,55,11
Hugo Ayala Castro,32,World Cup,2018,Defender,Mexico,180,0,180,Mexico,2,0,2,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,12
Hector Alfredo Moreno Herrera,32,World Cup,2018,Defender,Mexico,270,90,180,Mexico,3,1,2,0,0,0,0,0,0,0,0,1,0,1,3,3,0,2,0,0,0,0,0,0,0,1,90,90,135,0,0.67,-1,-1,-1,18
Miguel Arturo Layen Prado,31,World Cup,2018,Defender,Mexico,313,89,224,Mexico,4,1,2,0,0,0,0,0,0,0,0,1,0,1,5,3,2,1,0,0,0,0,0,0,0,1.44,63,78,313,0,0.29,131,128,58,17
Carlos Salcedo,26,World Cup,2018,Defender,Mexico,360,90,270,Mexico,4,1,3,0,0,0,0,0,0,0,0,1,0,1,5,3,2,1,0,0,0,0,0,0,0,1.25,72,90,360,0,0.25,130,127,50,16
Andres Guardado,33,World Cup,2018,Midfielder,Mexico,307,75,232,Mexico,4,1,3,0,0,0,0,0,0,0,0,1,0,1,5,3,2,1,0,0,0,0,0,0,0,1.47,61,77,307,0,0.29,129,126,-1,15
Hector Miguel Herrera Lopez,29,World Cup,2018,Midfielder,Mexico,360,90,270,Mexico,4,1,3,0,0,0,0,0,0,0,0,1,0,1,5,3,2,2,0,0,0,0,0,0,0,1.25,72,90,180,0,0.5,90,86,-1,14
Jesus Daniel Gallardo Vasconcelos,25,World Cup,2018,Midfielder,Mexico,335,65,270,Mexico,4,1,3,0,0,0,0,0,0,0,0,1,0,1,4,2,2,1,0,0,0,0,0,0,0,1.07,84,84,335,0,0.27,127,124,-1,13
Carlos Vela,31,World Cup,2018,Forward,Mexico,315,90,225,Mexico,4,1,3,1,0,1,0,0,0,1,0,1,0,1,5,3,2,0,0,0.29,0,0.29,0,0.4,315,1.43,63,79,0,0,0,24,123,-1,3
Javier Hernandez,31,World Cup,2018,Forward,Mexico,330,90,240,Mexico,4,1,3,1,0,1,1,0,1,0,0,1,0,1,4,3,1,0,0,0.55,0.27,0.27,0,0.38,330,1.09,83,83,0,330,0,30,18,-1,1
Hirving Rodrigo Lozano Bahena,24,World Cup,2018,Forward,Mexico,317,90,227,Mexico,4,1,3,1,0,1,1,0,1,0,0,1,0,1,5,3,2,0,0,0.57,0.28,0.28,0,0.4,317,1.42,63,79,0,317,0,27,17,-1,2
Edson Velezquez,22,World Cup,2018,Defender,Mexico,267,90,177,Mexico,4,1,2,0,0,0,0,0,0,0,0,1,0,1,4,3,1,1,0,0,0,0,0,0,0,1.35,67,67,267,0,0.34,-1,-1,-1,10
Raul Alonso Jimenez Rodriguez,28,World Cup,2018,Forward,Mexico,54,0,54,Mexico,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1.67,54,27,0,0,0,-1,-1,-1,9
Rafael Merquez lvarez,41,World Cup,2018,Defender,Mexico,84,0,84,Mexico,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,-1,-1,-1,8
Jose de Jesus Corona Rodriguez,39,World Cup,2018,Goalkeeper,Mexico,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Americk Gabriel  Galaviz,24,World Cup,2018,Midfielder,Mexico,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Jonathan dos Santos Ramerez,29,World Cup,2018,Midfielder,Mexico,35,0,35,Mexico,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2.57,35,35,0,0,0,-1,-1,-1,7
Marco Jhonfai Fabian De La Mora,30,World Cup,2018,Midfielder,Mexico,25,25,0,Mexico,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.6,25,25,0,0,0,-1,-1,-1,6
Giovani dos Santos Ramerez,30,World Cup,2018,Forward,Mexico,13,0,13,Mexico,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,-1,-1,-1,5
Alfredo Talavera Diaz,37,World Cup,2018,Goalkeeper,Mexico,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Jesus Manuel Corona Ruiz,27,World Cup,2018,Forward,Mexico,34,15,19,Mexico,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,-1,-1,-1,4
Oribe Peralta Morones,36,World Cup,2018,Forward,Mexico,1,1,0,Mexico,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,19
Javier Ignacio Aquino Carmona,30,World Cup,2018,Midfielder,Mexico,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alisson Becker,27,World Cup,2018,Goalkeeper,Brazil,450,360,90,Brazil,5,4,1,0,0,0,0,0,0,0,0,3,2,1,3,3,0,0,0,0,0,0,0,0,0,0.6,150,90,0,0,0,126,122,10,7
Miranda,35,World Cup,2018,Defender,Brazil,450,360,90,Brazil,5,4,1,0,0,0,0,0,0,0,0,3,2,1,3,3,0,0,0,0,0,0,0,0,0,0.6,150,90,0,0,0,125,121,14,13
Thiago Silva,35,World Cup,2018,Defender,Brazil,450,360,90,Brazil,5,4,1,1,0,1,0,0,0,0,0,3,2,1,3,3,0,0,0,0.2,0,0.2,0,1,450,0.6,150,90,0,0,0,47,120,16,3
Marcelo,31,World Cup,2018,Defender,Brazil,280,270,10,Brazil,4,3,1,0,0,0,0,0,0,0,0,2,1,1,3,3,0,0,0,0,0,0,0,0,0,0.96,93,70,0,0,0,124,119,39,16
Danilo,28,World Cup,2018,Defender,Brazil,90,90,0,Brazil,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,15
Paulinho,31,World Cup,2018,Midfielder,Brazil,354,288,66,Brazil,5,4,1,1,0,1,0,0,0,0,0,3,2,1,3,3,0,0,0,0.25,0,0.25,0,1.36,354,0.76,118,71,0,0,0,36,117,-1,4
Philippe Coutinho,27,World Cup,2018,Midfielder,Brazil,436,356,80,Brazil,5,4,1,2,2,0,2,1,1,0,0,3,2,1,3,3,0,1,0,0.83,0.41,0.41,0.51,0,218,0.62,145,87,436,218,0.21,14,5,-1,1
Casemiro,26,World Cup,2018,Defender,Brazil,330,240,90,Luxembourg,4,3,1,0,0,0,0,0,0,0,0,3,2,1,1,1,0,2,0,0,0,0,0,0,0,0.27,330,83,165,0,0.55,123,87,2,14
Willian,31,World Cup,2018,Forward,Brazil,362,272,90,Brazil,5,4,1,0,0,0,1,1,0,0,0,3,2,1,3,3,0,0,0,0.25,0.25,0,0,0,0,0.75,121,72,0,362,0,122,26,-1,11
Neymar,28,World Cup,2018,Forward,Brazil,450,360,90,Brazil,5,4,1,2,2,0,1,0,1,0,0,3,2,1,3,3,0,1,0,0.6,0.2,0.4,0.5,0,225,0.6,150,90,450,450,0.2,16,32,-1,2
Gabriel Jesus,22,World Cup,2018,Forward,Brazil,407,317,90,Brazil,5,4,1,0,0,0,1,1,0,0,0,3,2,1,3,3,0,0,0,0.22,0.22,0,0,0,0,0.66,136,81,0,407,0,121,30,-1,12
Fernando Luiz Rosa,34,World Cup,2018,Midfielder,Brazil,154,130,24,Brazil,5,1,0,0,0,0,0,0,0,0,0,3,2,1,2,2,0,1,0,0,0,0,0,0,0,1.17,77,31,154,0,0.58,-1,-1,-1,8
Renato Soares de Oliveira Augusto,32,World Cup,2018,Midfielder,Brazil,50,40,10,Brazil,3,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.8,0,1.8,2.25,0,50,0,0,17,0,0,0,-1,-1,-1,6
Roberto Firmino,28,World Cup,2018,Forward,Brazil,81,81,0,Brazil,4,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1.11,0,1.11,1.11,0,81,0,0,20,0,0,0,-1,-1,-1,5
Pedro Tonon Geromel,34,World Cup,2018,Defender,Brazil,0,0,0,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Filipe Luis,34,World Cup,2018,Defender,Brazil,170,90,80,Brazil,2,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,85,170,0,0.53,-1,-1,-1,10
Douglas Costa,29,World Cup,2018,Midfielder,Brazil,76,76,0,Brazil,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1.18,1.18,0,0,0,0,0,0,38,0,76,0,-1,-1,-1,9
Marquinhos,25,World Cup,2018,Defender,Brazil,0,0,0,Brazil,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Cessio Ramos,32,World Cup,2018,Goalkeeper,Brazil,0,0,0,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Taison Barcellos Freda,32,World Cup,2018,Forward,Brazil,0,0,0,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Feigner Conserva Lemos,30,World Cup,2018,Defender,Brazil,360,270,90,Brazil,4,3,1,0,0,0,0,0,0,0,0,3,2,1,2,2,0,1,0,0,0,0,0,0,0,0.5,180,90,360,0,0.25,119,63,3,17
Ederson,26,World Cup,2018,Goalkeeper,Brazil,0,0,0,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Yann Sommer,31,World Cup,2018,Goalkeeper,Switzerland,360,90,270,Switzerland,4,1,3,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,1,90,90,0,0,0,91,62,42,10
Stephan Lichtsteiner,36,World Cup,2018,Defender,Switzerland,267,90,177,Switzerland,3,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,0,0,0,0,0,0,0,1.01,89,89,134,0,0.67,-1,-1,-1,12
Ricardo Rodriguez,27,World Cup,2018,Defender,Switzerland,360,90,270,Switzerland,4,1,3,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,1,90,90,0,0,0,85,61,41,16
Fabian Schel,28,World Cup,2018,Defender,Switzerland,270,90,180,Switzerland,3,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,0,0,0,0,0,0,0,1,90,90,135,0,0.67,-1,-1,-1,15
Manuel Akanji,24,World Cup,2018,Defender,Switzerland,360,90,270,Switzerland,4,1,3,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,1,90,90,0,0,0,89,60,40,14
Valon Behrami,34,World Cup,2018,Midfielder,Switzerland,311,60,251,Switzerland,4,1,3,0,0,0,0,0,0,0,0,0,0,0,4,1,3,2,0,0,0,0,0,0,0,1.16,78,78,156,0,0.58,65,57,-1,13
Blerim Demaili,33,World Cup,2018,Midfielder,Switzerland,326,90,236,Switzerland,4,1,3,1,1,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0.28,0,0.28,1,0,326,1.1,82,82,0,0,0,28,50,-1,4
Steven Zuber,28,World Cup,2018,Midfielder,Switzerland,253,0,253,Switzerland,3,0,3,1,0,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0.36,0,0.36,0,0.36,253,1.07,84,84,0,0,0,-1,-1,-1,5
Xherdan Shaqiri,28,World Cup,2018,Midfielder,Switzerland,351,81,270,Switzerland,4,1,3,1,0,1,1,0,1,0,0,0,0,0,4,1,3,1,0,0.51,0.26,0.26,0,0.33,351,1.03,88,88,351,351,0.26,33,19,-1,1
